Component_Name,mz,intensity,Area,Fragment_ID,Theo_mz,MassError_ppm
Acenaphthylene,62.015064,34238,113407,C(12)5 H2,62.015101,0.596629
Acenaphthylene,74.015022,136078,262127,C(12)6 H2,74.015101,1.067351
Acenaphthylene,75.022865,189013,739920,C(12)6 H3,75.022926,0.813085
Acenaphthylene,76.03067,257572,1053765,C(12)6 H4,76.030751,1.06536
Acenaphthylene,76.532379,23890,50537,,,
Acenaphthylene,85.007179,37126,137851,C(12)7 H,85.007276,1.14108
Acenaphthylene,86.015007,84924,344946,C(12)7 H2,86.015101,1.092833
Acenaphthylene,87.022858,101871,404238,C(12)7 H3,87.022926,0.781404
Acenaphthylene,89.529915,11793,27352,,,
Acenaphthylene,98.015022,103837,206778,C(12)8 H2,98.015101,0.805999
Acenaphthylene,99.022842,56153,111893,C(12)8 H3,99.022926,0.848289
Acenaphthylene,100.030678,20303,54197,C(12)8 H4,100.030751,0.729776
Acenaphthylene,102.046318,43886,167605,C(12)8 H6,102.046401,0.813356
Acenaphthylene,110.015053,46218,177806,C(12)9 H2,110.015101,0.436304
Acenaphthylene,111.022919,45558,119469,C(12)9 H3,111.022926,0.06305
Acenaphthylene,113.038536,14296,19704,C(12)9 H5,113.038576,0.353862
Acenaphthylene,122.014969,55660,238874,C(12)10 H2,122.015101,1.081834
Acenaphthylene,123.02282,24627,81146,C(12)10 H3,123.022926,0.861629
Acenaphthylene,124.030693,19073,78989,C(12)10 H4,124.030751,0.467626
Acenaphthylene,125.038513,66809,266124,C(12)10 H5,125.038576,0.503845
Acenaphthylene,126.046371,225322,888420,C(12)10 H6,126.046401,0.238008
Acenaphthylene,127.050179,27592,101623,C(12)9 C(13)1 H6,127.049756,3.330967
Acenaphthylene,149.038559,152224,592476,C(12)12 H5,149.038576,0.114064
Acenaphthylene,150.046356,1178020,4795770,C(12)12 H6,150.046401,0.299907
Acenaphthylene,151.049973,140694,575924,C(12)11 C(13)1 H6,151.049756,1.437935
Acenaphthylene,151.054153,891855,3499080,C(12)12 H7,151.054226,0.48327
Acenaphthylene,152.061905,6638351,28060564,C(12)12 H8,152.062051,0.960135
Acenaphthylene,153.065262,880417,3569815,C(12)11 C(13)1 H8,153.065406,0.939469
Acenaphthylene,169.064636,193123,894579,,,
Acenaphthylene,170.068115,26238,119041,,,
Acenaphthylene,179.060226,303770,1251795,,,
Acenaphthylene,180.063522,41175,162921,,,
