Column1,Column2
14.01565,616971
15.019004,6864
15.021926,200
26.01565,203193
27.019004,4462
27.021926,66
27.023475,1841427
28.022358,17
28.026829,39563
28.029751,866
28.0313,100000000
29.030183,301
29.034654,2173380
29.037576,49070
30.038008,6134
78.91833,21604
79.926155,150241
80.91629,20740
80.932431,30
81.924115,147035
82.930391,24
92.93398,315786
93.937334,3539
93.940256,113
94.93194,304591
95.935294,3363
95.938216,88
106.94963,1243916
107.952984,27258
107.955906,853
108.94759,1211287
108.956338,100
109.950944,26103
109.953866,351
110.954298,50
185.86796,4260903
186.871314,92503
186.874236,2372
187.86592,8246329
187.874668,339
188.869274,179924
188.872196,5083
189.86388,4065392
189.872628,339
190.867234,87759
190.870156,678
191.870588,339
